Season,IHC,IHD,count
2003-2004,149,24.5,50
2004,140,23.2,79
2004-2005,154,25.4,76
2005,143,23.5,46
2005-2006,150,25,130
2006,141,23.3,49
2006-2007,139,23.1,260
2007,151,25.1,56
2007-2008,144,24,152
2008,133,22.1,88
2008-2009,138,23,104
2009,146,24.2,79
2009-2010,148,24.4,148
2010,143,23.5,91
2010-2011,146,24.2,187
2011,145,24.1,80
2011-2012,151,25.1,146
2012,148,24.4,61
2012-2013,147,24.3,86
2013,148,24.4,115
2013-2014,155,25.5,133
2014,145,24.1,81
2014-2015,152,25.2,219
2015,147,24.3,75
2015-2016,143,23.5,99
2016,140,23.2,76
2016-2017,147,24.3,154
2017,138,23,107
2017-2018,144,24,176
2018,141,23.3,76
2018-2019,144,24,140
2019,147,24.3,173
2019-2020,153,25.3,89
2020,152,25.2,12
2020-2021,156,26,46
2021,146,24.2,56
